author,date,section,subtitle,title,url,text
-,03/04/2019 18:34:47,TV,-,"Guedes perde a paciência com a esquerda: “Por que deram benefícios para bilionários, dinheiro para a JBS?”",https://www.oantagonista.com/brasil/guedes-perde-paciencia-com-esquerda-por-que-deram-beneficios-para-bilionarios-dinheiro-para-jbs/,"Irritado com a frequente interrupção da bancada do barulho, Paulo Guedes perdeu a paciência e partiu para cima.“Por que não botaram imposto sobre dividendos? Por que deram benefícios para bilionários? Por que deram dinheiro para a JBS? Nós estamos há três meses, vocês estiveram 18 anos no poder e não tiveram coragem de mudar.”"
-,03/04/2019 18:34:32,Brasil,-,“A escolha é totalmente de vocês”,https://www.oantagonista.com/brasil/escolha-e-totalmente-de-voces/,"Paulo Guedes volta a dizer que os deputados serão os responsáveis pelo resultado da reforma da Previdência.Se a proposta for mesmo desidratada, reforçou o ministro, daqui a quatro anos o Brasil precisará de uma nova.“A escolha é totalmente de vocês. Meu papel é muito pequenininho.”"
-,03/04/2019 18:31:52,Brasil,-,Faça o que eu não faço,https://www.oantagonista.com/brasil/faca-o-que-eu-nao-faco/,"Petistas, Ivan Valente e Jandira Feghali são assim: querem ser escutados, mas não deixam ninguém falar.É o óbvio, mas precisa ser registrado. Mais uma vez."
-,03/04/2019 18:30:19,Brasil,-,Guedes: ‘Vocês têm medo de cortar a aposentadoria dos militares?’,https://www.oantagonista.com/brasil/guedes-voces-tem-medo-de-cortar-aposentadoria-dos-militares/,"Depois de perder a paciência com os petistas na CCJ da Câmara, Paulo Guedes perguntou por que os parlamentares não cortavam a aposentadoria dos militares –medida pela qual ele foi cobrado.“Por que vocês não cortam? Vocês são o poder. Têm medo de fazer isso?”, desafiou o ministro da Economia."
-,03/04/2019 18:20:14,Brasil,-,Paulo Guedes elogia Lula e o Bolsa Família,https://www.oantagonista.com/brasil/paulo-guedes-elogia-lula-e-o-bolsa-familia/,"Na sessão da CCJ em que foi constantemente atacado pelos petistas, Paulo Guedes fez elogios ao Bolsa Família e disse que Lula “mereceu ganhar” duas eleições,.“Vários governos que passaram gastaram R$ 300 bilhões, R$ 400 bilhões por ano pagando juros da dívida sem tomar nenhuma medida para corrigir. E o Lula chegou e pegou R$ 10 bilhões só, e atingiu 40 milhões de família favoravelmente com o Bolsa Família”, disse o ministro da Economia de Jair Bolsonaro.“Isso é um impacto extraordinário. Mereceu ganhar uma eleição, duas eleições. Soube trabalhar. Com pouco dinheiro melhorou a vida de muitos de brasileiros”, acrescentou Guedes."
-,03/04/2019 18:05:24,Sociedade,-,Vélez quer mudar livros didáticos para ‘resgatar’ visão do regime militar,https://www.oantagonista.com/sociedade/velez-quer-mudar-livros-didaticos-para-resgatar-visao-regime-militar/,"Ricardo Vélez Rodríguez, ainda ministro da Educação, disse em entrevista ao Valor que “haverá mudanças progressivas” nos livros didáticos para que “as crianças possam ter a ideia verídica, real”, do que foi a sua história.Vélez referia-se ao golpe militar de 1964 e à ditadura subsequente, que para o ministro não são uma coisa nem outra.“A história brasileira mostra que o 31 de março de 1964 foi uma decisão soberana da sociedade brasileira. Quem colocou o presidente Castello Branco no poder não foram os quartéis.”Sobre o regime militar, que durou até 1985, Vélez afirmou que surgiu “de uma composição e de uma decisão política […] em que o Executivo chamou a si mais funções”.Quem vai ficar milionário vendendo “livros de direita” para o MEC?"
-,03/04/2019 17:57:01,Brasil,-,Presidente do STJ repreende juízes que não seguem precedentes,https://www.oantagonista.com/brasil/presidente-stj-repreende-juizes-que-nao-seguem-precedentes/,"Em discurso durante homenagens aos 30 anos do Superior Tribunal de Justiça, o presidente da Corte, João Otávio de Noronha reprovou juízes que decidem “à revelia” da jurisprudência firmada nos tribunais superiores.“O STJ diz, mas parte da magistratura, parece que desdiz. Não há justificativas para essa queda de braço. Para essa tendência que por aí se nomeia jurisprudência-imprudência-lotérica, julgar desconsiderando a força do precedente é improdutivo, protelatório e contra a própria lei.”É um bom recado para quem solta condenados em segunda instância."
-,03/04/2019 17:41:06,Brasil,-,O destaque da OAB nos 30 anos do STJ,https://www.oantagonista.com/brasil/o-destaque-da-oab-nos-30-anos-stj/,"Na homenagem aos 30 anos do Superior Tribunal de Justiça, o novo presidente da OAB destacou dois julgamentos recentes da Corte, “no momento que certa intolerância toma parte de nossa população”.“Julgados simples, um de 2011, do casamento civil de homoafetivos, e um de 2017, de desnecessidade de cirurgia de transgenitalização para retificação de registro de transgêneros e transexuais. Esse sempre foi o tribunal da coragem, sempre foi o tribunal da democracia”, disse Felipe Santa Cruz.As duas decisões só passaram a ter mais força após entendimentos similares fixados posteriormente pelo STF.Santa Cruz disse confiar no STJ “num momento de polarização e transição do povo brasileiro”."
-,03/04/2019 17:38:31,Brasil,-,O mais vermelho dos bispos vermelhos,https://www.oantagonista.com/brasil/o-mais-vermelho-dos-bispos-vermelhos/,"Os petistas Humberto Costa, Paulo Rocha e Wadih Damous estiveram na CNBB hoje para, segundo eles, discutir a reforma da Previdência e o pacote anticrime de Sergio Moro.O grupo foi recebido por dom Leonardo Steiner, o mais vermelho dos bispos vermelhos."
-,03/04/2019 17:37:35,Economia,-,"Com fala de Guedes, dólar fecha em alta",https://www.oantagonista.com/economia/com-fala-de-guedes-dolar-fecha-em-alta/,"O dólar comercial fechou hoje a R$ 3,879 na venda –alta de 0,56%, depois de quatro quedas consecutivas.A moeda americana começou o dia em trajetória de queda, invertida após o início da audiência pública de Paulo Guedes na CCJ da Câmara."
-,03/04/2019 17:35:51,Brasil,-,Collor se afasta e ex-prefeita condenada assume vaga no Senado,https://www.oantagonista.com/brasil/collor-se-afasta-e-ex-prefeita-condenada-assume-vaga-no-senado/,"Alegando motivos pessoais, Fernando Collor se afastou do Senado.Renilde Bulhões, ex-prefeita de Santana do Ipanema (AL), ficará no lugar dele pelos próximos quatro meses. Ela tomou posse há pouco.No ano passado, Renilde foi condenada pela 1ª Câmara Cível do Tribunal de Justiça de Alagoas, por improbidade administrativa. Em razão disso, não pode se candidatar, mas pode virar senadora."
-,03/04/2019 17:33:26,Brasil,-,"“É muito dura a vida quando você não anda em bando”, diz Guedes",https://www.oantagonista.com/brasil/e-muito-dura-vida-quando-voce-nao-anda-em-bando-diz-guedes/," Paulo Guedes rebateu acusações de petistas de que é um “rentista”. O ministro prefere ser chamado de empreendedor.“Se me conhecesse um pouco mais, saberia que o banco foi uma das cinco, seis, sete, oito… dez instituições que criei. Existe MBA executivo no Brasil, fui eu que criei. A Abril Educação saiu de zero para 1 milhão de alunos com o melhor conteúdo educacional para ensino básico, em cinco, seis anos, eu fiz essa empresa.”Guedes diz ainda que ajudou “várias empresas de ensino superior a irem para o mercado se capitalizar”. “Na hora em que houve uma desregulamentação e possibilitaram os investimentos, eu sabia que era uma forma melhor de contribuir para o pais do que apostar contra planos malfadados.”O ministro diz que foi “com tudo” no setor educacional e que preferia ter sido professor. “Investi muito e acho que dei algumas contribuições. E, ultimamente, estava investindo em saúde, até vir para cá. Eu fui um empreendedor a vida toda. Preferia ter sido professor, mas a vida brasileira era tão ideologizada, que, quando cheguei de fora, fui carimbado. Ao mesmo tempo, não me identificava com o pessoal que era do outro lado. Eu era um professor independente.”Guedes diz que não “era de patota nenhuma, nem tribo nenhuma”.“É muito dura a vida quando você não anda em bando. Não tem turma pra te proteger, não tem grupo político, não tem nada.”"
-,03/04/2019 17:30:09,Brasil,-,CPI do BNDES convoca Palocci e Mantega,https://www.oantagonista.com/brasil/cpi-bndes-convoca-palocci-e-mantega/,"Enquanto os deputados de oposição acompanhavam a audiência de Paulo Guedes na CCJ, a CPI do BNDES aprovou a convocação de Antonio Palocci e Guido Mantega.Além dos ex-ministros da Fazenda, a comissão –criada para apurar a possível prática de irregularidades no banco durante os governos do PT– convocou Luciano Coutinho, Carlos Lessa e Demian Fiocca, ex-presidentes do BNDES.Margarida Salomão, do PT mineiro, chegou pouco depois da votação na CPI e reclamou dos colegas. “Cheguei aqui correndo como uma atleta e, infelizmente, não cheguei a tempo de votar.”O tucano Vanderlei Macris, que preside a comissão, afirmou que a oposição “dormiu no ponto”. "
-,03/04/2019 17:25:49,Economia,-,Guedes propõe um “imposto de renda negativo”,https://www.oantagonista.com/economia/guedes-propoe-um-imposto-de-renda-negativo/,"Na audiência pública na CCJ, Paulo Guedes defendeu o “imposto de renda negativo”, ao discorrer sobre o sistema de capitalização.O imposto de renda negativo seria um complemento dado ao trabalhador que não acumulasse na sua própria previdência o suficiente para receber um salário mínimo por mês.Se o salário mínimo fosse de 1.000 reais, mas ele tivesse acumulado um total que lhe garantisse apenas 750 reais por mês, o governo lhe daria mais 250 reais."
-,03/04/2019 17:23:36,Brasil,-,Os petistas não aplaudem,https://www.oantagonista.com/brasil/os-petistas-nao-aplaudem/,"Paulo Guedes, muito mais sereno que o habitual, disse com franqueza que pode “estar errando” em algum ponto, mas acrescentou que está buscando o melhor e fazendo o seu melhor.Os deputados aplaudiram — menos os petistas."
-,03/04/2019 17:21:25,Brasil,-,STJ também faz auto-homenagem,https://www.oantagonista.com/brasil/stj-tambem-faz-auto-homenagem/,"Além do STF, o Superior Tribunal de Justiça também faz hoje uma homenagem a si mesmo, para comemorar seus 30 anos de aniversário.Os Correios deram de presente um selo especial e um carimbo.Assim como na Corte Suprema, os ministros não realizam sessões de julgamento na tarde desta quarta para participar das solenidades, repletas de advogados."
